date,precipitation,temp_max,temp_min,wind,weather
2015/1/28,0,12.2,5,1.8,fog
2015/1/29,0,12.2,3.3,2.9,sun
2015/1/30,0,8.3,1.1,0.8,fog
2015/1/31,0,7.2,3.3,1.9,fog
2015/2/1,1.5,9.4,4.4,2.6,rain
2015/2/2,7.4,11.1,5,4,rain
2015/2/3,1.3,10,5.6,1.9,rain
2015/2/4,8.4,10.6,4.4,1.7,rain
2015/2/5,26.2,13.3,8.3,4.6,rain
2015/2/6,17.3,14.4,10,4.5,rain
2015/2/7,23.6,12.2,9.4,4.6,rain
2015/2/8,3.6,15,8.3,3.9,rain
2015/2/9,6.1,13.3,8.3,2.5,rain
2015/2/10,0.3,12.8,8.3,4,rain
2015/2/11,0,12.8,5.6,1,fog
2015/2/12,1,16.7,9.4,2.1,rain
2015/2/13,0,15.6,6.7,1.7,fog
2015/2/14,0.3,14.4,6.7,2.9,rain
2015/2/15,0,12.2,3.9,4.8,sun
2015/2/16,0,15,5.6,6.6,fog
2015/2/17,0,16.1,4.4,4,sun
2015/2/18,0,12.2,4.4,2.6,sun
2015/2/19,4.6,10.6,8.3,2.2,rain
2015/2/20,0.8,11.1,7.2,0.9,rain
2015/2/21,0,12.2,5.6,4.5,sun
2015/2/22,0,11.7,3.3,4.2,sun
2015/2/23,0,12.8,0.6,1.4,sun
2015/2/24,0,11.1,2.2,1.5,sun
2015/2/25,4.1,10,6.7,1,rain
2015/2/26,9.4,11.7,7.8,1.4,rain
2015/2/27,18.3,10,6.7,4,rain
2015/2/28,0,12.2,3.3,5.1,sun
2015/3/1,0,11.1,1.1,2.2,sun
2015/3/2,0,11.1,4.4,4.8,sun
2015/3/3,0,10.6,0,2.1,sun
2015/3/4,0,12.8,-0.5,1.8,sun
2015/3/5,0,13.3,2.8,1.3,sun
2015/3/6,0,15,3.3,1.4,sun
2015/3/7,0,16.7,3.9,2.7,fog
2015/3/8,0,17.2,3.9,1.7,fog
2015/3/9,0,14.4,4.4,1.8,fog
2015/3/10,0.8,13.3,5,2.6,rain
2015/3/11,2.5,14.4,8.9,3.1,rain
2015/3/12,0,17.8,9.4,3.2,sun
2015/3/13,2,17.2,7.8,2.2,rain
2015/3/14,17,13.9,9.4,3.8,rain
2015/3/15,55.9,10.6,6.1,4.2,rain
2015/3/16,1,13.9,6.1,3,rain
2015/3/17,0.8,13.3,4.4,2.6,rain
2015/3/18,0,15.6,7.2,2.5,sun
2015/3/19,0,15.6,8.3,1.9,sun
2015/3/20,4.1,13.9,8.9,1.9,rain
2015/3/21,3.8,13.3,8.3,4.7,rain
2015/3/22,1,11.7,6.1,2.3,rain
2015/3/23,8.1,11.1,5.6,2.8,rain
2015/3/24,7.6,12.8,6.1,3.9,rain
2015/3/25,5.1,14.4,7.2,4.4,rain
2015/3/26,0,20.6,10,2.2,sun
2015/3/27,1,18.3,8.9,4,rain
2015/3/28,0,15.6,9.4,5.7,sun
2015/3/29,0,15.6,8.9,3,sun
2015/3/30,1.8,17.8,10.6,2.9,rain
2015/3/31,1,12.8,6.1,4.2,rain
