date,precipitation,temp_max,temp_min,wind,weather
2013/11/16,0,10,5,4.6,sun
2013/11/17,5.3,11.7,7.2,5.4,rain
2013/11/18,26.2,12.8,9.4,3.9,rain
2013/11/19,1,13.3,4.4,5.1,rain
2013/11/20,0,7.8,1.7,4.3,sun
2013/11/21,0,7.8,-0.5,3.6,sun
2013/11/22,0,9.4,0,4.6,sun
2013/11/23,0,11.1,1.1,2.6,sun
2013/11/24,0,11.7,0.6,0.9,fog
2013/11/25,0,12.2,2.2,0.5,sun
2013/11/26,0,12.2,2.8,1,sun
2013/11/27,0,14.4,5.6,1.3,sun
2013/11/28,0,11.7,3.3,0.7,sun
2013/11/29,0.5,9.4,5,2.1,rain
2013/11/30,2.3,11.1,7.2,3.9,rain
2013/12/1,3,13.3,7.8,8.8,rain
2013/12/2,4.6,7.8,1.7,3.5,rain
2013/12/3,0,5,-0.5,5.6,sun
2013/12/4,0,4.4,-2.1,1.6,sun
2013/12/5,0,1.1,-4.9,2.6,sun
2013/12/6,0,1.1,-4.3,4.7,sun
2013/12/7,0,0,-7.1,3.1,sun
2013/12/8,0,2.2,-6.6,2.2,sun
2013/12/9,0,1.1,-4.9,1.3,sun
2013/12/10,0,5.6,0.6,1.5,sun
2013/12/11,0,5,-1.6,0.8,sun
2013/12/12,6.9,5.6,-0.5,2.3,rain
2013/12/13,0.5,9.4,5.6,2.9,rain
2013/12/14,0,9.4,6.1,3.7,sun
2013/12/15,1.3,11.7,8.3,3.9,rain
2013/12/16,0.3,10,4.4,1,rain
2013/12/17,0,8.3,4.4,2.7,sun
2013/12/18,1.3,7.8,2.2,2.8,rain
2013/12/19,0,5,0,2.1,sun
2013/12/20,5.6,8.3,0.6,3.7,snow
2013/12/21,5.6,8.9,5.6,2.3,rain
2013/12/22,10.7,10.6,8.3,4,rain
2013/12/23,1.5,11.7,6.1,5.9,rain
2013/12/24,0,8.3,2.8,1.7,sun
2013/12/25,0,6.7,1.7,0.8,sun
2013/12/26,0,6.7,0.6,0.5,sun
2013/12/27,0.3,8.9,0,2.1,rain
2013/12/28,0,9.4,3.3,1.3,sun
2013/12/29,0,7.2,1.7,1.1,sun
2013/12/30,0.3,8.9,4.4,2.6,rain
2013/12/31,0.5,8.3,5,1.7,rain
2014/1/1,0,7.2,3.3,1.2,sun
2014/1/2,4.1,10.6,6.1,3.2,rain
2014/1/3,1.5,8.9,2.8,2.6,rain
2014/1/4,0,7.8,0.6,2.7,fog
2014/1/5,0,8.3,-0.5,3.7,sun
2014/1/6,0.3,7.8,-0.5,2.6,rain
2014/1/7,12.2,8.3,5,1.6,rain
2014/1/8,9.7,10,7.2,4.6,rain
2014/1/9,5.8,9.4,5.6,6.3,rain
2014/1/10,4.3,12.8,8.3,7,rain
2014/1/11,21.3,14.4,7.2,8.8,rain
2014/1/12,1.5,11.1,5.6,8.1,rain
2014/1/13,0,10.6,10,7.1,sun
2014/1/14,0,11.1,7.2,1.3,sun
2014/1/15,0,11.1,5.6,2.5,sun
2014/1/16,0,6.7,4.4,2.7,sun
2014/1/17,0,5.6,2.8,2.3,sun
2014/1/18,0,9.4,0.6,2.2,sun
2014/1/19,0,6.1,3.3,2.5,sun
2014/1/20,0,10,2.8,2.2,sun
2014/1/21,0,10,1.7,1.5,sun
2014/1/22,0.5,9.4,5.6,2.6,rain
2014/1/23,0,10,2.8,5.2,fog
